experiment,grid,full_run,graph_family,n,edges,reps,graph_seed,ordering,ordering_role,total_span,max_cutwidth,chi_max,chi_label,svd_cutoff,max_bond_final,max_bond_intermediate,max_entropy,mean_entropy,swap_count,routing_distance,discarded_weight,norm_factor,infidelity,trace_distance_bound,phase_aligned_error,E_unsorted_1,E_sorted_1,topK25_mass,topK25_mass_rel,topK25_exact_mass,topK25_shape,topK100_mass,topK100_mass_rel,topK100_exact_mass,topK100_shape,topK400_mass,topK400_mass_rel,topK400_exact_mass,topK400_shape,topK1000_mass,topK1000_mass_rel,topK1000_exact_mass,topK1000_shape,storage_complex,storage_bytes,statevector_complex,runtime_s,svd_time_s,qiskit_time_s,n_svd,status,quic_params_version,quic_fingerprint,quic_source_kind,mps_revision,mps_sha256,mps_version
quic_readout,full,True,cycle,8,8,2,-1,natural,natural = graph_informed,14,2,16,16,1e-14,16,16,0.6517514805570535,0.5746329535574064,24,12,7.853714423301728e-33,1.0,0.0,0.0,5.578471020778109e-15,2.9768396948848252e-15,2.621871903613071e-15,1.1102230246251565e-16,3.2320505436807714e-16,0.34350422730728586,9.783840404509192e-16,2.220446049250313e-16,3.0458327216731144e-16,0.729011161200801,1.7165088794790506e-15,,,,,,,,,680,10880,256,0.01308053699995071,0.002277581002090301,0.011141672000121616,40,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,cycle,8,8,2,-1,natural,natural = graph_informed,14,2,32,32,1e-14,16,16,0.6517514805570535,0.5746329535574064,24,12,7.853714423301728e-33,1.0,0.0,0.0,5.578471020778109e-15,2.9768396948848252e-15,2.621871903613071e-15,1.1102230246251565e-16,3.2320505436807714e-16,0.34350422730728586,9.783840404509192e-16,2.220446049250313e-16,3.0458327216731144e-16,0.729011161200801,1.7165088794790506e-15,,,,,,,,,680,10880,256,0.02301834899935784,0.0025581459995009936,0.011141672000121616,40,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,cycle,8,8,2,-1,natural,natural = graph_informed,14,2,64,64,1e-14,16,16,0.6517514805570535,0.5746329535574064,24,12,7.853714423301728e-33,1.0,0.0,0.0,5.578471020778109e-15,2.9768396948848252e-15,2.621871903613071e-15,1.1102230246251565e-16,3.2320505436807714e-16,0.34350422730728586,9.783840404509192e-16,2.220446049250313e-16,3.0458327216731144e-16,0.729011161200801,1.7165088794790506e-15,,,,,,,,,680,10880,256,0.014052298999558843,0.002399802999207168,0.011141672000121616,40,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,cycle,8,8,2,-1,natural,natural = graph_informed,14,2,-1,untruncated,1e-14,16,16,0.6517514805570535,0.5746329535574064,24,12,7.853714423301728e-33,1.0,0.0,0.0,5.578471020778109e-15,2.9768396948848252e-15,2.621871903613071e-15,1.1102230246251565e-16,3.2320505436807714e-16,0.34350422730728586,9.783840404509192e-16,2.220446049250313e-16,3.0458327216731144e-16,0.729011161200801,1.7165088794790506e-15,,,,,,,,,680,10880,256,0.01372014099979424,0.002463740996972774,0.011141672000121616,40,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,reg3,8,12,1,23,natural,natural = graph_informed,28,6,4,4,1e-14,4,4,0.2986984772083354,0.2462245496928345,32,16,0.0008994471980181677,0.9995503300281346,0.0008994663571343375,0.029991104633446522,0.029994477959795214,0.02641153196705513,0.021872617331924787,0.0004742892214103511,0.0011497357337357196,0.4125202057252681,0.009683653939474415,0.0005240106921676757,0.0006346739204232948,0.8256376625940256,0.015651478630833816,,,,,,,,,168,2688,256,0.013884254000004148,0.0021388660052252817,0.005901486999391636,44,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,reg3,8,12,1,23,natural,natural = graph_informed,28,6,8,8,1e-14,8,8,0.30568600252557404,0.25050747898445014,32,16,1.6523788834241597e-31,1.0,0.0,0.0,3.3983928639002288e-15,2.2499160195511847e-15,2.1505759954972004e-15,2.220446049250313e-16,5.382635852579534e-16,0.4125202057252681,1.6583956430338276e-15,0.0,0.0,0.8256376625940256,1.972814273054624e-15,,,,,,,,,360,5760,256,0.014463118000094255,0.0024778480001259595,0.005901486999391636,44,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,reg3,8,12,1,23,natural,natural = graph_informed,28,6,16,16,1e-14,8,8,0.30568600252557404,0.25050747898445014,32,16,1.6523788834241597e-31,1.0,0.0,0.0,3.3983928639002288e-15,2.2499160195511847e-15,2.1505759954972004e-15,2.220446049250313e-16,5.382635852579534e-16,0.4125202057252681,1.6583956430338276e-15,0.0,0.0,0.8256376625940256,1.972814273054624e-15,,,,,,,,,360,5760,256,0.012647937999645364,0.0020437680004761205,0.005901486999391636,44,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,reg3,8,12,1,23,natural,natural = graph_informed,28,6,32,32,1e-14,8,8,0.30568600252557404,0.25050747898445014,32,16,1.6523788834241597e-31,1.0,0.0,0.0,3.3983928639002288e-15,2.2499160195511847e-15,2.1505759954972004e-15,2.220446049250313e-16,5.382635852579534e-16,0.4125202057252681,1.6583956430338276e-15,0.0,0.0,0.8256376625940256,1.972814273054624e-15,,,,,,,,,360,5760,256,0.012190340999950422,0.002126404996488418,0.005901486999391636,44,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,reg3,8,12,1,23,natural,natural = graph_informed,28,6,64,64,1e-14,8,8,0.30568600252557404,0.25050747898445014,32,16,1.6523788834241597e-31,1.0,0.0,0.0,3.3983928639002288e-15,2.2499160195511847e-15,2.1505759954972004e-15,2.220446049250313e-16,5.382635852579534e-16,0.4125202057252681,1.6583956430338276e-15,0.0,0.0,0.8256376625940256,1.972814273054624e-15,,,,,,,,,360,5760,256,0.013369792999583296,0.0021177690005060867,0.005901486999391636,44,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,reg3,8,12,1,23,natural,natural = graph_informed,28,6,-1,untruncated,1e-14,8,8,0.30568600252557404,0.25050747898445014,32,16,1.6523788834241597e-31,1.0,0.0,0.0,3.3983928639002288e-15,2.2499160195511847e-15,2.1505759954972004e-15,2.220446049250313e-16,5.382635852579534e-16,0.4125202057252681,1.6583956430338276e-15,0.0,0.0,0.8256376625940256,1.972814273054624e-15,,,,,,,,,360,5760,256,0.013610613999844645,0.002298876997883781,0.005901486999391636,44,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,reg3,8,12,2,23,natural,natural = graph_informed,28,6,4,4,1e-14,4,4,1.7433221659124496,1.3148211746746363,64,32,0.2940930269452228,0.8574380116908734,0.2690339614165761,0.5186848382366465,0.5385805066206154,0.5794841839961088,0.11921774950917133,0.03249632090428134,0.12152035939468055,0.26741462143588624,0.09111448003510775,0.014406010843591388,0.019638979077185495,0.733541737937222,0.12933590697307062,,,,,,,,,168,2688,256,0.026440449999427074,0.004596636999849579,0.008963770999798726,88,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,reg3,8,12,2,23,natural,natural = graph_informed,28,6,8,8,1e-14,8,8,2.487787454480382,1.6239673248897137,64,32,0.0035625045506816207,0.9982188552607005,0.0028480662989366357,0.05336727741731478,0.05338630032370445,0.05033731690753704,0.034873565714524365,0.003934703862107758,0.014713869574447033,0.26741462143588624,0.03416862935233216,0.0038473467858021193,0.005244891444924683,0.733541737937222,0.03011876528797868,,,,,,,,,424,6784,256,0.030027322999558237,0.005587403000390623,0.008963770999798726,88,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,reg3,8,12,2,23,natural,natural = graph_informed,28,6,16,16,1e-14,12,16,2.507377168409845,1.6304234103510384,64,32,1.160187685193284e-29,1.0000000000000002,-4.440892098500626e-16,0.0,1.119633096524862e-14,1.0613770062492534e-14,1.0464963314318898e-14,1.7763568394002505e-15,6.642706482772257e-15,0.26741462143588624,6.5954186556638206e-15,4.440892098500626e-16,6.054041465982249e-16,0.733541737937222,8.31799906730879e-15,,,,,,,,,472,7552,256,0.03671390399995289,0.006993809998675715,0.008963770999798726,88,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,reg3,8,12,2,23,natural,natural = graph_informed,28,6,32,32,1e-14,12,16,2.507377168409845,1.6304234103510384,64,32,1.160187685193284e-29,1.0000000000000002,-4.440892098500626e-16,0.0,1.119633096524862e-14,1.0613770062492534e-14,1.0464963314318898e-14,1.7763568394002505e-15,6.642706482772257e-15,0.26741462143588624,6.5954186556638206e-15,4.440892098500626e-16,6.054041465982249e-16,0.733541737937222,8.31799906730879e-15,,,,,,,,,472,7552,256,0.02727450000020326,0.005518591997315525,0.008963770999798726,88,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,reg3,8,12,2,23,natural,natural = graph_informed,28,6,64,64,1e-14,12,16,2.507377168409845,1.6304234103510384,64,32,1.160187685193284e-29,1.0000000000000002,-4.440892098500626e-16,0.0,1.119633096524862e-14,1.0613770062492534e-14,1.0464963314318898e-14,1.7763568394002505e-15,6.642706482772257e-15,0.26741462143588624,6.5954186556638206e-15,4.440892098500626e-16,6.054041465982249e-16,0.733541737937222,8.31799906730879e-15,,,,,,,,,472,7552,256,0.02819432100022823,0.005554128000767378,0.008963770999798726,88,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,reg3,8,12,2,23,natural,natural = graph_informed,28,6,-1,untruncated,1e-14,12,16,2.507377168409845,1.6304234103510384,64,32,1.160187685193284e-29,1.0000000000000002,-4.440892098500626e-16,0.0,1.119633096524862e-14,1.0613770062492534e-14,1.0464963314318898e-14,1.7763568394002505e-15,6.642706482772257e-15,0.26741462143588624,6.5954186556638206e-15,4.440892098500626e-16,6.054041465982249e-16,0.733541737937222,8.31799906730879e-15,,,,,,,,,472,7552,256,0.02600741099922743,0.005013951998989796,0.008963770999798726,88,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,path,12,11,1,-1,natural,natural = graph_informed,11,1,4,4,1e-14,2,2,0.2662894810612575,0.11756484761158313,0,0,0.0,1.0,4.440892098500626e-16,2.1073424255447017e-08,9.905128246297393e-16,1.0676891634743406e-15,1.0010708133710458e-15,2.220446049250313e-16,4.050346251750032e-16,0.5482114148366761,7.164407955784213e-16,1.1102230246251565e-16,1.4809720114432783e-16,0.7496583433357332,8.638922910364499e-16,1.1102230246251565e-16,1.2110192500672537e-16,0.9167674457391991,9.550736937424809e-16,3.3306690738754696e-16,3.4081900259215603e-16,0.9772545100312799,9.37191134160048e-16,88,1408,4096,0.0027747720005208976,0.00044297300246398663,0.009214945000167063,11,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
quic_readout,full,True,path,12,11,1,-1,natural,natural = graph_informed,11,1,8,8,1e-14,2,2,0.2662894810612575,0.11756484761158313,0,0,0.0,1.0,4.440892098500626e-16,2.1073424255447017e-08,9.905128246297393e-16,1.0676891634743406e-15,1.0010708133710458e-15,2.220446049250313e-16,4.050346251750032e-16,0.5482114148366761,7.164407955784213e-16,1.1102230246251565e-16,1.4809720114432783e-16,0.7496583433357332,8.638922910364499e-16,1.1102230246251565e-16,1.2110192500672537e-16,0.9167674457391991,9.550736937424809e-16,3.3306690738754696e-16,3.4081900259215603e-16,0.9772545100312799,9.37191134160048e-16,88,1408,4096,0.0027721710002879263,0.0003873170007864246,0.009214945000167063,11,complete,standin-v1,cfb538f0d43ae488,stand-in,a250ae81afc363466076dd397784dfa7e178223a,f2b6f21f8cfddcca,1.0.0
